Error: 47
MT = 125.268 + 121.591log(A/W + 1)
RSquare = 0.926
Mean MT
A	W	MT	ID
256	16	639	4
128	32	374	2
512	64	509	3
128	16	509	3
512	16	746	5
512	32	654	4
256	64	403	2
128	64	375	2
256	32	439	3
Raw Data
A	W	MT	ID
256	16	717	4
256	16	771	4
256	16	646	4
256	16	640	4
256	16	515	4
256	16	517	4
256	16	577	4
256	16	489	4
256	16	878	4
128	32	377	2
128	32	367	2
128	32	404	2
128	32	393	2
128	32	418	2
128	32	323	2
128	32	386	2
128	32	340	2
128	32	359	2
512	64	545	3
512	64	408	3
512	64	525	3
512	64	551	3
512	64	377	3
512	64	446	3
512	64	569	3
512	64	429	3
512	64	735	3
128	16	706	3
128	16	446	3
128	16	477	3
128	16	462	3
128	16	449	3
128	16	402	3
128	16	429	3
128	16	455	3
128	16	752	3
512	16	647	5
512	16	641	5
512	16	945	5
512	16	779	5
512	16	533	5
512	16	727	5
512	16	742	5
512	16	858	5
512	16	840	5
512	32	507	4
512	32	604	4
512	32	639	4
512	32	726	4
512	32	446	4
512	32	865	4
512	32	668	4
512	32	715	4
512	32	718	4
256	64	420	2
256	64	313	2
256	64	421	2
256	64	358	2
256	64	396	2
256	64	409	2
256	64	481	2
256	64	438	2
256	64	390	2
128	64	409	2
128	64	314	2
128	64	385	2
128	64	359	2
128	64	414	2
128	64	312	2
128	64	393	2
128	64	341	2
128	64	448	2
256	32	412	3
256	32	515	3
256	32	533	3
256	32	455	3
256	32	454	3
256	32	379	3
256	32	429	3
256	32	384	3
256	32	394	3
