Error: 4
MT = -139.313 + 411.273log(A/W + 1)
RSquare = 0.517
Mean MT
A	W	MT	ID
32	4	986	3
64	2	1558	5
64	1	2021	6
16	1	1871	4
64	4	1092	4
16	2	1078	3
32	1	2947	5
16	4	950	2
32	2	1475	4
Raw Data
A	W	MT	ID
32	4	1109	3
32	4	1059	3
32	4	957	3
32	4	1063	3
32	4	743	3
64	2	1644	5
64	2	1306	5
64	2	1450	5
64	2	1506	5
64	2	1884	5
64	1	1476	6
64	1	2211	6
64	1	1181	6
64	1	1604	6
64	1	3633	6
16	1	4068	4
16	1	1846	4
16	1	1295	4
16	1	1320	4
16	1	824	4
64	4	864	4
64	4	1033	4
64	4	1006	4
64	4	1540	4
64	4	1015	4
16	2	744	3
16	2	763	3
16	2	1655	3
16	2	760	3
16	2	1469	3
32	1	4702	5
32	1	2570	5
32	1	1610	5
32	1	3330	5
32	1	2525	5
16	4	1226	2
16	4	848	2
16	4	762	2
16	4	769	2
16	4	1146	2
32	2	1423	4
32	2	1672	4
32	2	1627	4
32	2	1120	4
32	2	1531	4
