Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2024-01-18-00:15:58,1,0,0,0,0,0,0,0,0,0,0,0.41767826684766
2024-01-18-00:15:59,0,1,0,0,0,0,0,0,0,0,0,1.0125623317348
2024-01-18-00:16:00,0,0,1,0,0,0,0,0,0,0,0,1.01540712351592
2024-01-18-00:16:01,0,0,0,1,0,0,0,0,0,0,0,2.01478782469925
2024-01-18-00:16:02,0,0,0,0,1,0,0,0,0,0,0,1.01528342374315
2024-01-18-00:16:03,0,0,0,0,0,1,0,0,0,0,0,1.01527302312346
2024-01-18-00:16:04,0,0,0,0,0,0,1,0,0,0,0,1.0132860345781
2024-01-18-00:16:05,0,0,0,0,0,0,0,1,0,0,0,1.01752956278874
2024-01-18-00:16:06,0,0,0,0,0,0,0,0,1,0,0,-0.987335291912825
2024-01-18-00:16:07,0,0,0,0,0,0,0,0,0,1,0,1.01376797183026
2024-01-18-00:16:08,0,0,0,0,0,0,0,0,0,0,1,1.01426155635431
2024-01-18-00:17:50,0,0,0,0,0,0,0,0,0,0,0,1.01197734621314
2024-01-18-00:19:09,0.5,0,0,0,0,0,0,0,0,0,0,1.66143284663134
2024-01-18-00:19:10,0,0.5,0,0,0,0,0,0,0,0,0,1.01704761361193
2024-01-18-00:19:11,0,0,0.5,0,0,0,0,0,0,0,0,1.01873489817517
2024-01-18-00:19:12,0,0,0,0.5,0,0,0,0,0,0,0,1.51241274698379
2024-01-18-00:19:13,0,0,0,0,0.5,0,0,0,0,0,0,1.01914615614705
2024-01-18-00:19:14,0,0,0,0,0,0.5,0,0,0,0,0,1.01651312804118
2024-01-18-00:19:15,0,0,0,0,0,0,0.5,0,0,0,0,1.01433443672974
2024-01-18-00:19:16,0,0,0,0,0,0,0,0.5,0,0,0,1.01292388588722
2024-01-18-00:19:17,0,0,0,0,0,0,0,0,0.5,0,0,0.0154518548704259
2024-01-18-00:19:18,0,0,0,0,0,0,0,0,0,0.5,0,1.01357811274249
2024-01-18-00:19:19,0,0,0,0,0,0,0,0,0,0,0.5,1.01279470074527
